data_entry,id,trial,movement,number,comment
caterina,P01,1,outwards,1,
caterina,P01,2,inwards,5,
caterina,P01,3,outwards,7,
caterina,P01,4,inwards,12,
caterina,P01,5,outwards,3,
caterina,P01,6,inwards,21,
caterina,P01,7,outwards,30,
caterina,P01,8,inwards,27,
caterina,P01,9,outwards,18,
caterina,P01,10,inwards,13,
caterina,P01,11,outwards,4,
caterina,P01,12,inwards,30,
caterina,P01,13,outwards,15,
caterina,P01,14,inwards,3,
caterina,P01,15,outwards,20,
caterina,P01,16,inwards,18,
caterina,P01,17,outwards,24,
caterina,P01,18,inwards,22,
caterina,P01,19,outwards,12,
caterina,P01,20,inwards,15,
caterina,P01,21,outwards,16,
caterina,P01,22,inwards,4,
caterina,P01,23,outwards,7,
caterina,P01,24,inwards,8,
caterina,P01,25,outwards,1,
caterina,P01,26,inwards,22,
caterina,P01,27,outwards,8,
caterina,P01,28,inwards,9,
caterina,P01,29,outwards,12,
caterina,P01,30,inwards,20,
caterina,P01,31,outwards,4,
caterina,P01,32,inwards,7,
caterina,P01,33,outwards,21,
caterina,P01,34,inwards,12,
caterina,P01,35,outwards,3,
caterina,P01,36,inwards,30,
caterina,P01,37,outwards,29,
caterina,P01,38,inwards,24,
caterina,P01,39,outwards,25,
caterina,P01,40,inwards,2,
caterina,P01,41,outwards,6,
caterina,P01,42,inwards,7,
caterina,P01,43,outwards,10,
caterina,P01,44,inwards,25,
caterina,P01,45,outwards,24,
caterina,P01,46,inwards,10,
caterina,P01,47,outwards,7,
caterina,P01,48,inwards,3,
caterina,P01,49,outwards,29,
caterina,P01,50,inwards,27,
caterina,P01,51,outwards,16,
caterina,P01,52,inwards,17,
caterina,P01,53,outwards,14,
caterina,P01,54,inwards,21,
caterina,P01,55,outwards,4,
caterina,P01,56,inwards,5,
caterina,P01,57,outwards,12,
caterina,P01,58,inwards,17,
caterina,P01,59,outwards,21,
caterina,P01,60,inwards,24,
caterina,P01,61,outwards,25,
caterina,P01,62,inwards,2,
caterina,P01,63,outwards,1,
caterina,P01,64,inwards,13,
caterina,P01,65,outwards,10,
caterina,P01,66,inwards,9,
caterina,P01,67,outwards,3,
caterina,P01,68,inwards,23,
caterina,P01,69,outwards,27,
caterina,P01,70,inwards,24,
caterina,P01,71,outwards,30,
caterina,P01,72,inwards,29,
caterina,P01,73,outwards,4,
caterina,P01,74,inwards,22,
caterina,P01,75,outwards,20,
caterina,P01,76,inwards,13,
caterina,P01,77,outwards,14,
caterina,P01,78,inwards,10,
caterina,P01,79,outwards,12,
caterina,P01,80,inwards,22,
caterina,P01,81,outwards,30,
caterina,P01,82,inwards,1,
caterina,P01,83,outwards,7,
caterina,P01,84,inwards,12,
caterina,P01,85,outwards,26,
caterina,P01,86,inwards,27,
caterina,P01,87,outwards,NA,
caterina,P01,88,inwards,NA,
caterina,P01,89,outwards,NA,
caterina,P01,90,inwards,NA,
caterina,P01,91,outwards,NA,
caterina,P01,92,inwards,NA,
caterina,P01,93,outwards,NA,
caterina,P01,94,inwards,NA,
caterina,P01,95,outwards,NA,
caterina,P01,96,inwards,NA,
caterina,P01,97,outwards,NA,
caterina,P01,98,inwards,NA,
caterina,P01,99,outwards,NA,
caterina,P01,100,inwards,NA,
caterina,P02,1,outwards,21,
caterina,P02,2,inwards,23,
caterina,P02,3,outwards,8,
caterina,P02,4,inwards,30,
caterina,P02,5,outwards,4,
caterina,P02,6,inwards,4,
caterina,P02,7,outwards,21,
caterina,P02,8,inwards,12,
caterina,P02,9,outwards,28,
caterina,P02,10,inwards,7,
caterina,P02,11,outwards,14,
caterina,P02,12,inwards,28,
caterina,P02,13,outwards,30,
caterina,P02,14,inwards,4,
caterina,P02,15,outwards,8,
caterina,P02,16,inwards,9,
caterina,P02,17,outwards,16,
caterina,P02,18,inwards,4,
caterina,P02,19,outwards,23,
caterina,P02,20,inwards,7,
caterina,P02,21,outwards,8,
caterina,P02,22,inwards,4,
caterina,P02,23,outwards,20,
caterina,P02,24,inwards,30,
caterina,P02,25,outwards,6,
caterina,P02,26,inwards,2,
caterina,P02,27,outwards,28,
caterina,P02,28,inwards,21,
caterina,P02,29,outwards,3,
caterina,P02,30,inwards,29,
caterina,P02,31,outwards,4,
caterina,P02,32,inwards,30,
caterina,P02,33,outwards,18,
caterina,P02,34,inwards,16,
caterina,P02,35,outwards,4,
caterina,P02,36,inwards,9,
caterina,P02,37,outwards,13,
caterina,P02,38,inwards,22,
caterina,P02,39,outwards,21,
caterina,P02,40,inwards,11,
caterina,P02,41,outwards,3,
caterina,P02,42,inwards,30,
caterina,P02,43,outwards,24,
caterina,P02,44,inwards,2,
caterina,P02,45,outwards,21,
caterina,P02,46,inwards,3,
caterina,P02,47,outwards,13,
caterina,P02,48,inwards,17,
caterina,P02,49,outwards,28,
caterina,P02,50,inwards,2,
caterina,P02,51,outwards,20,
caterina,P02,52,inwards,1,
caterina,P02,53,outwards,2,
caterina,P02,54,inwards,18,
caterina,P02,55,outwards,30,
caterina,P02,56,inwards,14,
caterina,P02,57,outwards,30,
caterina,P02,58,inwards,8,
caterina,P02,59,outwards,9,
caterina,P02,60,inwards,26,
caterina,P02,61,outwards,17,
caterina,P02,62,inwards,21,
caterina,P02,63,outwards,2,
caterina,P02,64,inwards,8,
caterina,P02,65,outwards,13,
caterina,P02,66,inwards,9,
caterina,P02,67,outwards,21,
caterina,P02,68,inwards,1,
caterina,P02,69,outwards,4,
caterina,P02,70,inwards,8,
caterina,P02,71,outwards,30,
caterina,P02,72,inwards,18,
caterina,P02,73,outwards,12,
caterina,P02,74,inwards,27,
caterina,P02,75,outwards,1,
caterina,P02,76,inwards,19,
caterina,P02,77,outwards,23,
caterina,P02,78,inwards,21,
caterina,P02,79,outwards,24,
caterina,P02,80,inwards,3,
caterina,P02,81,outwards,NA,
caterina,P02,82,inwards,NA,
caterina,P02,83,outwards,NA,
caterina,P02,84,inwards,NA,
