subject,language,movement,number,trial
eng_23_P01,english,outwards,3,1
eng_23_P01,english,inwards,10,2
eng_23_P01,english,outwards,31,3
eng_23_P01,english,inwards,5,4
eng_23_P01,english,outwards,6,5
eng_23_P01,english,inwards,18,6
eng_23_P01,english,outwards,13,7
eng_23_P01,english,inwards,14,8
eng_23_P01,english,outwards,11,9
eng_23_P01,english,inwards,6,10
eng_23_P01,english,outwards,10,11
eng_23_P01,english,inwards,3,12
eng_23_P01,english,outwards,15,13
eng_23_P01,english,inwards,16,14
eng_23_P01,english,inwards,5,16
eng_23_P01,english,outwards,3,17
eng_23_P01,english,inwards,4,18
eng_23_P01,english,outwards,1,19
eng_23_P01,english,inwards,29,20
eng_23_P01,english,outwards,25,21
eng_23_P01,english,inwards,24,22
eng_23_P01,english,outwards,31,23
eng_23_P01,english,inwards,13,24
eng_23_P01,english,outwards,14,25
eng_23_P01,english,inwards,16,26
eng_23_P01,english,inwards,11,28
eng_23_P01,english,outwards,8,29
eng_23_P01,english,inwards,6,30
eng_23_P01,english,outwards,1,31
eng_23_P01,english,inwards,5,32
eng_23_P01,english,outwards,18,33
eng_23_P01,english,inwards,17,34
eng_23_P01,english,outwards,12,35
eng_23_P01,english,inwards,1,36
eng_23_P01,english,outwards,3,37
eng_23_P01,english,inwards,5,38
eng_23_P01,english,inwards,6,40
eng_23_P01,english,outwards,8,41
eng_23_P01,english,inwards,23,42
eng_23_P01,english,outwards,21,43
eng_23_P01,english,inwards,14,44
eng_23_P01,english,outwards,5,45
eng_23_P01,english,inwards,13,46
eng_23_P01,english,outwards,11,47
eng_23_P01,english,inwards,10,48
eng_23_P01,english,outwards,5,49
eng_23_P01,english,inwards,3,52
eng_23_P01,english,outwards,12,53
eng_23_P01,english,inwards,7,54
eng_23_P01,english,outwards,24,55
eng_23_P01,english,inwards,26,56
eng_23_P01,english,outwards,27,57
eng_23_P01,english,inwards,8,58
eng_23_P01,english,outwards,1,59
eng_23_P01,english,inwards,21,60
eng_23_P01,english,outwards,2,61
eng_23_P01,english,inwards,16,62
eng_23_P01,english,outwards,17,63
eng_23_P01,english,inwards,3,64
eng_23_P01,english,outwards,5,65
eng_23_P01,english,inwards,29,66
eng_23_P01,english,outwards,26,67
eng_23_P01,english,inwards,21,68
eng_23_P01,english,outwards,8,69
eng_23_P01,english,inwards,7,70
eng_23_P01,english,outwards,6,71
eng_23_P01,english,inwards,12,72
eng_23_P01,english,outwards,8,73
eng_23_P01,english,inwards,5,74
eng_23_P01,english,outwards,3,75
eng_23_P01,english,inwards,2,76
eng_23_P01,english,outwards,9,77
eng_23_P01,english,inwards,8,78
eng_23_P01,english,outwards,5,79
eng_23_P01,english,inwards,3,80
eng_23_P01,english,outwards,7,83
eng_23_P01,english,inwards,12,84
eng_23_P01,english,inwards,23,86
eng_23_P01,english,outwards,25,87
eng_23_P01,english,inwards,18,88
eng_23_P01,english,outwards,14,89
eng_23_P01,english,inwards,16,90
eng_23_P01,english,outwards,8,91
eng_23_P01,english,inwards,10,92
eng_23_P01,english,outwards,26,93
eng_23_P02,english,outwards,6,1
eng_23_P02,english,inwards,15,2
eng_23_P02,english,outwards,22,3
eng_23_P02,english,inwards,14,4
