"age_yrs","age_of_onset","Condition","log_frequency","ACC","rt","PartID","ItemID"
22,18,"Simple",2.9,1,833,"01","001"
36,34,"Simple",2.9,1,1090,"02","001"
26,23,"Simple",2.9,1,786,"03","001"
25,23,"Simple",2.9,1,722,"04","001"
31,25,"Simple",2.9,1,648,"05","001"
31,29,"Simple",2.9,1,453,"06","001"
21,18,"Simple",2.9,1,770,"07","001"
24,22,"Simple",2.9,0,483,"08","001"
31,30,"Simple",2.9,1,935,"09","001"
32,29,"Simple",2.9,1,920,"10","001"
29,24,"Simple",2.9,1,593,"11","001"
29,27,"Simple",2.9,1,668,"12","001"
30,28,"Simple",2.9,1,702,"13","001"
30,28,"Simple",2.9,1,674,"14","001"
37,36,"Simple",2.9,1,831,"15","001"
36,32,"Simple",2.9,1,1141,"16","001"
20,16,"Simple",2.9,1,656,"17","001"
33,31,"Simple",2.9,0,704,"18","001"
38,36,"Simple",2.9,1,732,"19","001"
24,22,"Simple",2.9,1,783,"20","001"
23,21,"Simple",2.9,0,779,"21","001"
18,15,"Simple",2.9,1,713,"22","001"
21,13,"Simple",2.9,1,1137,"23","001"
20,19,"Simple",2.9,1,1279,"24","001"
23,21,"Simple",2.9,1,501,"25","001"
35,33,"Simple",2.9,1,727,"26","001"
31,28,"Simple",2.9,0,688,"27","001"
38,36,"Simple",2.9,1,808,"28","001"
30,27,"Simple",2.9,1,574,"29","001"
35,32,"Simple",2.9,1,559,"30","001"
26,22,"Simple",2.9,1,420,"31","001"
26,24,"Simple",2.9,1,477,"32","001"
22,20,"Simple",2.9,1,1115,"33","001"
28,26,"Simple",2.9,1,536,"34","001"
24,20,"Simple",2.9,1,914,"35","001"
25,23,"Simple",2.9,1,708,"36","001"
38,37,"Simple",2.9,1,842,"37","001"
22,19,"Simple",2.9,1,810,"38","001"
31,25,"Simple",2.9,1,749,"39","001"
23,20,"Simple",2.9,1,809,"40","001"
24,19,"Simple",2.9,1,605,"41","001"
35,32,"Simple",2.9,1,862,"42","001"
22,19,"Simple",2.9,1,722,"43","001"
31,26,"Simple",2.9,1,590,"44","001"
27,23,"Simple",2.9,1,772,"45","001"
24,20,"Simple",2.9,1,758,"46","001"
19,17,"Simple",2.9,0,437,"47","001"
20,18,"Simple",2.9,1,555,"48","001"
25,21,"Simple",2.9,1,744,"49","001"
36,34,"Simple",2.9,1,888,"50","001"
22,18,"Simple",4,1,597,"01","002"
36,34,"Simple",4,1,545,"02","002"
26,23,"Simple",4,0,1057,"03","002"
25,23,"Simple",4,1,1079,"04","002"
31,25,"Simple",4,1,562,"05","002"
31,29,"Simple",4,1,630,"06","002"
21,18,"Simple",4,1,679,"07","002"
24,22,"Simple",4,0,550,"08","002"
31,30,"Simple",4,1,737,"09","002"
32,29,"Simple",4,1,792,"10","002"
29,24,"Simple",4,0,658,"11","002"
29,27,"Simple",4,1,808,"12","002"
30,28,"Simple",4,1,858,"13","002"
30,28,"Simple",4,1,873,"14","002"
37,36,"Simple",4,1,898,"15","002"
36,32,"Simple",4,1,1114,"16","002"
20,16,"Simple",4,1,747,"17","002"
33,31,"Simple",4,0,569,"18","002"
38,36,"Simple",4,1,734,"19","002"
24,22,"Simple",4,1,1206,"20","002"
23,21,"Simple",4,1,667,"21","002"
18,15,"Simple",4,1,538,"22","002"
21,13,"Simple",4,1,585,"23","002"
20,19,"Simple",4,0,707,"24","002"
23,21,"Simple",4,1,657,"25","002"
35,33,"Simple",4,0,825,"26","002"
31,28,"Simple",4,1,488,"27","002"
38,36,"Simple",4,1,757,"28","002"
30,27,"Simple",4,1,596,"29","002"
