Gesture,Language,Response
forward,forward language,Friday
forward,forward language,Friday
backward,forward language,Friday
forward,backward language,Friday
forward,forward language,Monday
forward,backward language,Monday
backward,forward language,Monday
forward,backward language,Monday
backward,forward language,Friday
forward,forward language,Monday
backward,backward language,Monday
backward,backward language,Friday
forward,forward language,Friday
forward,backward language,Monday
backward,backward language,Monday
backward,forward language,Monday
backward,backward language,Monday
backward,backward language,Monday
forward,backward language,Monday
backward,backward language,Friday
backward,forward language,Monday
forward,forward language,Friday
backward,forward language,Friday
backward,forward language,Monday
backward,backward language,Monday
backward,backward language,Monday
backward,backward language,Monday
backward,backward language,Monday
forward,forward language,Friday
backward,backward language,Monday
backward,forward language,Monday
forward,backward language,Monday
forward,forward language,Friday
forward,backward language,Monday
backward,backward language,Monday
backward,forward language,Friday
forward,forward language,Monday
forward,forward language,Friday
backward,forward language,Monday
backward,forward language,Monday
backward,backward language,Monday
backward,backward language,Friday
backward,forward language,Friday
forward,backward language,Monday
backward,forward language,Monday
forward,backward language,Monday
forward,forward language,Monday
backward,backward language,Monday
backward,forward language,Monday
forward,forward language,Monday
backward,backward language,Friday
forward,forward language,Monday
forward,forward language,Monday
backward,backward language,Monday
forward,forward language,Monday
backward,backward language,Friday
backward,backward language,Monday
backward,forward language,Monday
backward,forward language,Monday
backward,forward language,Friday
forward,backward language,Monday
backward,forward language,Monday
forward,forward language,Friday
backward,backward language,Monday
forward,forward language,Monday
forward,forward language,Friday
forward,backward language,Monday
forward,backward language,Monday
backward,forward language,Monday
backward,forward language,Friday
backward,backward language,Monday
forward,forward language,Monday
forward,backward language,Monday
forward,forward language,Monday
forward,backward language,Monday
backward,backward language,Friday
forward,backward language,Monday
backward,backward language,Monday
backward,forward language,Friday
forward,backward language,Friday
forward,backward language,Monday
forward,forward language,Monday
backward,forward language,Monday
backward,forward language,Friday
backward,backward language,Monday
forward,backward language,Monday
backward,backward language,Monday
forward,backward language,Friday
forward,forward language,Monday
backward,backward language,Monday
forward,forward language,Friday
backward,forward language,Friday
backward,backward language,Monday
forward,backward language,Monday
forward,forward language,Monday
backward,backward language,Monday
backward,forward language,Monday
forward,backward language,Monday
forward,forward language,Friday
forward,backward language,Monday
forward,forward language,Friday
backward,backward language,Monday
forward,backward language,Monday
forward,backward language,Monday
forward,forward language,Friday
backward,backward language,Monday
backward,forward language,Monday
backward,backward language,Monday
backward,forward language,Friday
forward,backward language,Monday
backward,backward language,Monday
forward,forward language,Friday
backward,forward language,Monday
backward,forward language,Monday
forward,forward language,Monday
forward,forward language,Friday
backward,backward language,Monday
backward,backward language,Monday
backward,forward language,Friday
forward,forward language,Friday
forward,forward language,Monday
backward,backward language,Monday
forward,forward language,Monday
backward,backward language,Monday
backward,forward language,Friday
forward,forward language,Friday
forward,backward language,Monday
backward,backward language,Monday
forward,backward language,Monday
forward,backward language,Monday
backward,forward language,Friday
backward,backward language,Monday
backward,forward language,Monday
backward,backward language,Monday
backward,forward language,Monday
backward,backward language,Friday
backward,backward language,Monday
forward,backward language,Monday
backward,backward language,Monday
forward,forward language,Monday
forward,forward language,Friday
forward,backward language,Monday
forward,forward language,Monday
backward,backward language,Monday
forward,backward language,Monday
backward,forward language,Monday
forward,backward language,Monday
forward,forward language,Monday
forward,backward language,Monday
backward,forward language,Friday
backward,forward language,Monday
forward,backward language,Monday
forward,forward language,Monday
backward,backward language,Friday
backward,backward language,Monday
backward,backward language,Monday
backward,backward language,Monday
forward,forward language,Friday
backward,forward language,Monday
forward,backward language,Friday
backward,backward language,Monday
forward,forward language,Friday
backward,forward language,Monday
forward,backward language,Monday
backward,forward language,Monday
backward,backward language,Monday
backward,forward language,Monday
forward,forward language,Friday
forward,backward language,Monday
backward,backward language,Monday
forward,backward language,Friday
backward,backward language,Monday
forward,forward language,Monday
forward,backward language,Monday
backward,backward language,Monday
forward,backward language,Monday
backward,forward language,Monday
forward,forward language,Monday
forward,backward language,Friday
forward,forward language,Monday
backward,forward language,Monday
backward,forward language,Monday
forward,backward language,Monday
forward,backward language,Monday
backward,forward language,Friday
forward,forward language,Friday
forward,backward language,Monday
backward,forward language,Friday
backward,forward language,Friday
backward,backward language,Monday
forward,forward language,Friday
