subject,trial.no,number,hand,RT,correct
nuerk_2005_001,1,7,left,645,1
nuerk_2005_001,2,1,left,404,1
nuerk_2005_001,3,5,left,504,1
nuerk_2005_001,4,4,right,491,1
nuerk_2005_001,5,3,left,603,1
nuerk_2005_001,6,9,left,1023,1
nuerk_2005_001,7,6,right,607,1
nuerk_2005_001,8,7,left,527,1
nuerk_2005_001,9,7,left,468,1
nuerk_2005_001,10,0,right,645,1
nuerk_2005_001,11,5,left,650,1
nuerk_2005_001,12,7,left,1006,1
nuerk_2005_001,13,6,right,551,1
nuerk_2005_001,14,4,right,490,1
nuerk_2005_001,15,3,left,486,1
nuerk_2005_001,16,8,right,508,1
nuerk_2005_001,17,6,right,674,1
nuerk_2005_001,18,9,left,522,0
nuerk_2005_001,19,0,right,822,1
nuerk_2005_001,20,4,right,621,1
nuerk_2005_001,21,4,right,532,1
nuerk_2005_001,22,2,right,621,1
nuerk_2005_001,23,9,left,602,1
nuerk_2005_001,24,8,right,562,1
nuerk_2005_001,25,7,left,575,1
nuerk_2005_001,26,5,left,577,1
nuerk_2005_001,27,0,right,629,1
nuerk_2005_001,28,9,left,644,1
nuerk_2005_001,29,2,right,434,1
nuerk_2005_001,30,4,right,565,1
nuerk_2005_001,31,0,right,490,0
nuerk_2005_001,32,1,left,616,1
nuerk_2005_001,33,0,right,1085,1
nuerk_2005_001,34,5,left,491,1
nuerk_2005_001,35,6,right,604,1
nuerk_2005_001,36,9,left,621,1
nuerk_2005_001,37,8,right,502,1
nuerk_2005_001,38,9,left,519,0
nuerk_2005_001,39,2,right,574,1
nuerk_2005_001,40,3,left,852,1
nuerk_2005_001,41,9,left,662,0
nuerk_2005_001,42,1,left,589,1
nuerk_2005_001,43,7,left,716,1
nuerk_2005_001,44,8,right,551,1
nuerk_2005_001,45,2,right,548,1
nuerk_2005_001,46,2,right,501,1
nuerk_2005_001,47,8,right,518,1
nuerk_2005_001,48,6,right,731,1
nuerk_2005_001,49,4,right,591,1
nuerk_2005_001,50,6,right,533,1
